,class,filename,height,image_id,width,xmax,xmin,ymax,ymin
0,1,190118_202347_00164778.jpg,527,0,616,441.0,388.0,263.0,207.0
1,3,190118_202347_00164778.jpg,527,0,616,404.0,298.0,391.0,266.0
2,5,190118_202347_00164778.jpg,527,0,616,465.0,270.0,336.0,286.0
3,5,190118_202347_00164778.jpg,527,0,616,571.0,395.0,408.0,314.0
4,5,190118_202347_00164778.jpg,527,0,616,440.0,285.0,398.0,320.0
5,3,190119_185316_00167092.jpg,505,1,1151,692.0,604.0,337.0,241.0
6,3,190119_185316_00167092.jpg,505,1,1151,1082.0,947.0,343.0,275.0
7,2,190119_185316_00167092.jpg,505,1,1151,898.0,732.0,411.0,315.0
8,1,190119_184515_00166979.jpg,585,2,1024,666.0,603.0,444.0,414.0
9,1,190119_184515_00166979.jpg,585,2,1024,709.0,562.0,495.0,452.0
10,3,190119_184515_00166979.jpg,585,2,1024,336.0,281.0,481.0,404.0
11,5,190119_184515_00166979.jpg,585,2,1024,368.0,192.0,301.0,229.0
12,4,190119_184515_00166979.jpg,585,2,1024,426.0,345.0,421.0,354.0
13,4,190119_184515_00166979.jpg,585,2,1024,976.0,827.0,502.0,392.0
14,5,190119_184338_00166954.jpg,585,3,1151,912.0,775.0,556.0,481.0
15,4,190119_184338_00166954.jpg,585,3,1151,847.0,804.0,405.0,308.0
16,3,190119_174519_00166161.jpg,352,4,344,344.0,269.0,156.0,113.0
17,4,190119_174519_00166161.jpg,352,4,344,249.0,109.0,321.0,253.0
18,1,190119_180323_00166452.jpg,652,5,932,159.0,93.0,467.0,420.0
19,1,190119_180323_00166452.jpg,652,5,932,877.0,814.0,469.0,441.0
20,3,190119_180323_00166452.jpg,652,5,932,422.0,191.0,544.0,500.0
21,5,190119_180323_00166452.jpg,652,5,932,376.0,179.0,597.0,475.0
22,5,190119_180323_00166452.jpg,652,5,932,563.0,485.0,509.0,404.0
23,3,190110_165245_00155230.jpg,227,6,492,460.0,429.0,182.0,102.0
24,4,190110_165245_00155230.jpg,227,6,492,208.0,102.0,214.0,148.0
25,4,190110_165245_00155230.jpg,227,6,492,308.0,255.0,162.0,142.0
26,4,190110_165245_00155230.jpg,227,6,492,296.0,259.0,190.0,163.0
27,4,190110_165245_00155230.jpg,227,6,492,350.0,326.0,158.0,128.0
28,4,190110_165245_00155230.jpg,227,6,492,312.0,262.0,200.0,190.0
29,4,190110_165245_00155230.jpg,227,6,492,365.0,302.0,198.0,165.0
30,2,190110_165245_00155230.jpg,227,6,492,159.0,80.0,146.0,96.0
31,4,190110_165245_00155230.jpg,227,6,492,344.0,281.0,183.0,145.0
32,1,190119_175834_00166376.jpg,493,7,493,319.0,261.0,431.0,397.0
33,5,190119_175834_00166376.jpg,493,7,493,167.0,115.0,391.0,305.0
34,2,190110_165832_00155262.jpg,259,8,403,298.0,202.0,239.0,208.0
35,4,190110_165832_00155262.jpg,259,8,403,210.0,49.0,235.0,176.0
36,3,190109_181616_00154204.jpg,335,9,668,287.0,168.0,197.0,158.0
37,4,190109_181616_00154204.jpg,335,9,668,198.0,98.0,305.0,255.0
38,3,190119_180805_00166529.jpg,538,10,610,272.0,159.0,331.0,280.0
39,5,190119_180805_00166529.jpg,538,10,610,378.0,300.0,285.0,179.0
40,5,190119_180805_00166529.jpg,538,10,610,318.0,230.0,270.0,157.0
41,4,190119_180805_00166529.jpg,538,10,610,366.0,261.0,258.0,180.0
42,1,190119_174707_00166193.jpg,564,12,1151,879.0,804.0,429.0,382.0
43,3,190119_174707_00166193.jpg,564,12,1151,1008.0,887.0,392.0,267.0
44,4,190119_174707_00166193.jpg,564,12,1151,645.0,534.0,331.0,259.0
45,5,190119_174707_00166193.jpg,564,12,1151,1068.0,858.0,370.0,255.0
46,2,190119_174707_00166193.jpg,564,12,1151,345.0,194.0,459.0,376.0
47,4,190119_174707_00166193.jpg,564,12,1151,104.0,0.0,466.0,424.0
48,3,190119_182704_00166721.jpg,485,13,1151,425.0,280.0,395.0,319.0
49,3,190119_182704_00166721.jpg,485,13,1151,96.0,0.0,389.0,344.0
50,4,190119_182704_00166721.jpg,485,13,1151,967.0,861.0,234.0,171.0
51,2,190119_182704_00166721.jpg,485,13,1151,135.0,0.0,313.0,227.0
52,4,190119_182704_00166721.jpg,485,13,1151,920.0,806.0,323.0,241.0
53,4,190119_182704_00166721.jpg,485,13,1151,498.0,343.0,210.0,178.0
54,4,190119_184121_00166919.jpg,369,14,254,245.0,129.0,250.0,190.0
55,5,190109_181419_00154200.jpg,209,15,495,334.0,157.0,83.0,29.0
56,4,190109_181419_00154200.jpg,209,15,495,299.0,138.0,117.0,53.0
57,1,190119_184459_00166976.jpg,733,16,1151,619.0,555.0,328.0,288.0
58,5,190119_184459_00166976.jpg,733,16,1151,967.0,794.0,312.0,238.0
59,2,190110_171108_00155340.jpg,314,17,667,174.0,90.0,206.0,158.0
60,1,190119_175418_00166308.jpg,522,18,639,206.0,144.0,337.0,293.0
61,5,190119_175418_00166308.jpg,522,18,639,286.0,124.0,460.0,385.0
62,3,190119_183928_00166894.jpg,337,19,359,279.0,115.0,231.0,121.0
63,5,190119_183928_00166894.jpg,337,19,359,275.0,95.0,231.0,113.0
64,2,190109_182159_00154223.jpg,327,20,531,202.0,79.0,267.0,200.0
65,4,190109_182159_00154223.jpg,327,20,531,307.0,258.0,241.0,146.0
66,4,190109_182159_00154223.jpg,327,20,531,356.0,249.0,131.0,72.0
67,4,190109_182159_00154223.jpg,327,20,531,491.0,382.0,170.0,104.0
68,3,190119_175533_00166328.jpg,604,21,1151,189.0,84.0,478.0,420.0
69,5,190119_175533_00166328.jpg,604,21,1151,106.0,50.0,489.0,366.0
70,4,190119_175533_00166328.jpg,604,21,1151,210.0,99.0,377.0,310.0
71,3,190119_184453_00166974.jpg,545,22,594,234.0,149.0,247.0,187.0
72,5,190119_184453_00166974.jpg,545,22,594,332.0,155.0,360.0,272.0
73,4,190119_184453_00166974.jpg,545,22,594,184.0,82.0,286.0,222.0
74,3,190119_181335_00166619.jpg,280,23,543,450.0,286.0,165.0,122.0
75,2,190119_181335_00166619.jpg,280,23,543,214.0,61.0,203.0,123.0
76,1,190119_183142_00166782.jpg,631,24,944,842.0,767.0,321.0,289.0
77,3,190119_183142_00166782.jpg,631,24,944,509.0,414.0,535.0,503.0
78,3,190119_183142_00166782.jpg,631,24,944,767.0,544.0,399.0,340.0
79,5,190119_183142_00166782.jpg,631,24,944,744.0,528.0,426.0,316.0
80,2,190119_183142_00166782.jpg,631,24,944,491.0,395.0,490.0,416.0
81,3,190110_164917_00155214.jpg,695,25,432,368.0,211.0,628.0,583.0
82,5,190110_164917_00155214.jpg,695,25,432,404.0,207.0,631.0,583.0
83,5,190110_164917_00155214.jpg,695,25,432,408.0,253.0,603.0,560.0
84,4,190110_164917_00155214.jpg,695,25,432,280.0,121.0,681.0,652.0
85,3,190119_184139_00166923.jpg,424,26,406,191.0,50.0,284.0,249.0
86,2,190119_184139_00166923.jpg,424,26,406,205.0,62.0,397.0,314.0
87,1,190119_183848_00166884.jpg,705,27,1151,995.0,959.0,469.0,425.0
88,3,190119_183848_00166884.jpg,705,27,1151,582.0,524.0,444.0,375.0
89,5,190119_183848_00166884.jpg,705,27,1151,597.0,413.0,472.0,371.0
90,5,190119_183848_00166884.jpg,705,27,1151,1012.0,809.0,645.0,598.0
91,4,190119_183848_00166884.jpg,705,27,1151,607.0,547.0,259.0,196.0
92,4,190109_182126_00154222.jpg,193,28,480,421.0,333.0,150.0,104.0
93,5,190109_182126_00154222.jpg,193,28,480,266.0,181.0,158.0,40.0
94,4,190109_182126_00154222.jpg,193,28,480,218.0,60.0,101.0,43.0
95,3,190119_184244_00166940.jpg,391,29,680,203.0,88.0,298.0,254.0
96,5,190119_184244_00166940.jpg,391,29,680,297.0,231.0,336.0,240.0
97,5,190119_184244_00166940.jpg,391,29,680,415.0,294.0,346.0,244.0
98,4,190119_184244_00166940.jpg,391,29,680,195.0,97.0,322.0,278.0
99,4,190119_175630_00166342.jpg,603,30,1114,999.0,864.0,282.0,220.0
100,2,190119_175630_00166342.jpg,603,30,1114,1086.0,965.0,509.0,447.0
101,1,190110_170621_00155304.jpg,300,31,372,201.0,166.0,237.0,207.0
102,1,190110_170621_00155304.jpg,300,31,372,243.0,202.0,245.0,209.0
103,3,190110_170621_00155304.jpg,300,31,372,127.0,77.0,187.0,95.0
104,3,190110_170621_00155304.jpg,300,31,372,258.0,201.0,269.0,251.0
105,4,190110_170621_00155304.jpg,300,31,372,276.0,240.0,263.0,229.0
106,4,190110_170621_00155304.jpg,300,31,372,285.0,256.0,240.0,206.0
107,4,190110_170621_00155304.jpg,300,31,372,256.0,242.0,222.0,192.0
108,4,190110_170621_00155304.jpg,300,31,372,193.0,178.0,260.0,228.0
109,4,190119_184007_00166901.jpg,510,32,1151,964.0,865.0,378.0,308.0
110,4,190119_184007_00166901.jpg,510,32,1151,793.0,680.0,369.0,311.0
111,1,190119_201156_00164765 (7).jpg,525,33,695,348.0,278.0,342.0,299.0
112,1,190119_201156_00164765 (7).jpg,525,33,695,443.0,370.0,287.0,246.0
113,5,190119_201156_00164765 (7).jpg,525,33,695,275.0,102.0,344.0,226.0
114,5,190119_201156_00164765 (7).jpg,525,33,695,525.0,420.0,269.0,179.0
115,5,190119_201156_00164765 (7).jpg,525,33,695,616.0,547.0,289.0,229.0
116,3,190119_184252_00166942.jpg,590,34,1151,97.0,1.0,495.0,477.0
117,3,190119_184252_00166942.jpg,590,34,1151,770.0,680.0,477.0,431.0
118,4,190119_184252_00166942.jpg,590,34,1151,953.0,912.0,277.0,240.0
119,4,190119_184252_00166942.jpg,590,34,1151,1008.0,949.0,280.0,205.0
120,2,190119_184252_00166942.jpg,590,34,1151,215.0,63.0,454.0,361.0
121,2,190119_184252_00166942.jpg,590,34,1151,715.0,607.0,413.0,360.0
122,2,190119_184252_00166942.jpg,590,34,1151,648.0,589.0,460.0,397.0
123,2,190119_184252_00166942.jpg,590,34,1151,893.0,810.0,501.0,424.0
124,3,190119_184930_00167036.jpg,547,35,471,389.0,283.0,498.0,472.0
125,2,190119_184930_00167036.jpg,547,35,471,410.0,314.0,428.0,387.0
126,1,190119_175109_00166257.jpg,486,36,805,532.0,391.0,145.0,85.0
127,1,190119_175109_00166257.jpg,486,36,805,529.0,459.0,170.0,134.0
128,4,190119_175109_00166257.jpg,486,36,805,410.0,244.0,418.0,356.0
129,3,190119_183715_00166860.jpg,618,37,1151,431.0,285.0,544.0,481.0
130,3,190119_183715_00166860.jpg,618,37,1151,1095.0,1008.0,388.0,334.0
131,2,190119_183715_00166860.jpg,618,37,1151,444.0,307.0,453.0,371.0
132,2,190119_183715_00166860.jpg,618,37,1151,965.0,849.0,326.0,278.0
133,5,190109_180853_00154178.jpg,283,38,386,336.0,253.0,206.0,96.0
134,4,190109_180853_00154178.jpg,283,38,386,169.0,59.0,149.0,88.0
135,4,190109_180853_00154178.jpg,283,38,386,255.0,162.0,181.0,85.0
136,1,190119_182739_00166731.jpg,568,39,1067,358.0,305.0,477.0,437.0
137,3,190119_182739_00166731.jpg,568,39,1067,284.0,65.0,470.0,401.0
138,4,190119_182739_00166731.jpg,568,39,1067,854.0,819.0,473.0,444.0
139,4,190119_182739_00166731.jpg,568,39,1067,870.0,848.0,483.0,454.0
140,4,190119_182739_00166731.jpg,568,39,1067,845.0,812.0,504.0,473.0
141,4,190119_182739_00166731.jpg,568,39,1067,823.0,796.0,501.0,473.0
142,5,190119_182739_00166731.jpg,568,39,1067,267.0,91.0,466.0,366.0
143,5,190119_182739_00166731.jpg,568,39,1067,272.0,95.0,488.0,460.0
144,2,190119_182739_00166731.jpg,568,39,1067,807.0,670.0,419.0,338.0
145,3,190119_181118_00166584.jpg,319,40,551,430.0,259.0,261.0,236.0
146,2,190119_181118_00166584.jpg,319,40,551,295.0,154.0,242.0,140.0
147,2,190119_181118_00166584.jpg,319,40,551,197.0,137.0,197.0,147.0
148,4,190119_183937_00166895.jpg,467,41,671,621.0,508.0,295.0,256.0
149,2,190119_183937_00166895.jpg,467,41,671,243.0,141.0,192.0,149.0
150,2,190119_183937_00166895.jpg,467,41,671,547.0,407.0,290.0,207.0
151,3,190119_175416_00166307.jpg,591,42,398,348.0,203.0,494.0,419.0
152,2,190119_175416_00166307.jpg,591,42,398,311.0,186.0,416.0,328.0
153,3,190119_174837_00166216.jpg,487,43,809,301.0,141.0,353.0,294.0
154,4,190119_174837_00166216.jpg,487,43,809,809.0,780.0,295.0,238.0
155,2,190119_174837_00166216.jpg,487,43,809,365.0,236.0,245.0,196.0
156,4,190119_174837_00166216.jpg,487,43,809,688.0,561.0,457.0,377.0
157,4,190110_171351_00155358.jpg,209,44,396,145.0,55.0,136.0,72.0
158,4,190110_171351_00155358.jpg,209,44,396,354.0,200.0,166.0,113.0
159,3,190109_184059_00154294.jpg,266,45,359,250.0,203.0,245.0,106.0
160,4,190109_184059_00154294.jpg,266,45,359,283.0,195.0,84.0,29.0
161,4,190109_184059_00154294.jpg,266,45,359,182.0,47.0,125.0,48.0
162,4,190109_184059_00154294.jpg,266,45,359,139.0,54.0,109.0,52.0
163,3,190119_180243_00166440.jpg,778,46,754,323.0,228.0,575.0,530.0
164,2,190119_180243_00166440.jpg,778,46,754,523.0,427.0,523.0,451.0
165,1,190119_184658_00167002.jpg,328,47,410,382.0,313.0,172.0,139.0
166,3,190119_184658_00167002.jpg,328,47,410,264.0,82.0,226.0,134.0
167,5,190119_184658_00167002.jpg,328,47,410,278.0,84.0,223.0,116.0
168,4,190119_175911_00166386.jpg,392,48,625,481.0,372.0,198.0,136.0
169,4,190119_175911_00166386.jpg,392,48,625,351.0,223.0,155.0,85.0
170,3,190119_181254_00166609.jpg,528,49,1151,1006.0,868.0,490.0,435.0
171,3,190119_181254_00166609.jpg,528,49,1151,909.0,759.0,324.0,283.0
172,4,190119_181254_00166609.jpg,528,49,1151,408.0,302.0,315.0,264.0
173,2,190119_181254_00166609.jpg,528,49,1151,53.0,0.0,351.0,298.0
174,4,190119_181254_00166609.jpg,528,49,1151,282.0,146.0,392.0,315.0
175,1,190119_183242_00166797.jpg,649,50,1151,328.0,283.0,489.0,449.0
176,1,190119_183242_00166797.jpg,649,50,1151,408.0,351.0,519.0,425.0
177,3,190119_183242_00166797.jpg,649,50,1151,753.0,677.0,611.0,558.0
178,2,190119_183242_00166797.jpg,649,50,1151,886.0,763.0,570.0,505.0
179,4,190119_183242_00166797.jpg,649,50,1151,95.0,0.0,549.0,457.0
180,3,190119_181154_00166595.jpg,501,51,1151,608.0,505.0,314.0,284.0
181,4,190119_181154_00166595.jpg,501,51,1151,70.0,0.0,248.0,174.0
182,2,190119_181154_00166595.jpg,501,51,1151,748.0,634.0,437.0,380.0
183,4,190119_181154_00166595.jpg,501,51,1151,240.0,145.0,362.0,300.0
184,1,190119_180351_00166460.jpg,665,52,1038,475.0,404.0,516.0,472.0
185,1,190119_180351_00166460.jpg,665,52,1038,477.0,400.0,516.0,472.0
186,3,190119_180351_00166460.jpg,665,52,1038,269.0,81.0,541.0,472.0
187,3,190119_180351_00166460.jpg,665,52,1038,911.0,829.0,498.0,406.0
188,5,190119_180351_00166460.jpg,665,52,1038,318.0,111.0,549.0,436.0
189,2,190119_180351_00166460.jpg,665,52,1038,789.0,622.0,547.0,454.0
190,3,190119_184951_00167041.jpg,598,53,1151,884.0,811.0,540.0,478.0
191,4,190119_184951_00167041.jpg,598,53,1151,543.0,444.0,354.0,287.0
192,2,190119_184951_00167041.jpg,598,53,1151,198.0,108.0,358.0,295.0
193,2,190119_184951_00167041.jpg,598,53,1151,1012.0,900.0,505.0,430.0
